article;produits;etat de stock (en stock 100 ou rupture de stock 0)
2324;BALAI CONCORD BSP;100
2325;BATS NEVA RD 150 cc90;100
2326;SANI BRILLE MEUBLE BOMBE PM;100
2327;COLGATE TRIPLE ACTION 75ML;100
2328;COLGATE MAXFRESH COOL 75ML BLEU;100
2329;PASCO SUPER GLUE;100
2337;SHAMP SYOSS PURE 500ML;100
2338;TRAITEMENT RAYHANE CITRON 250ML;100
2339;ELEGANCE 100ML ROSE;100
2340;ELEGANCE 100ML BLEU;100
2342;ELEGANCE 100ML GRIS;100
2344;FEUILLE D'ALUMINIUM 5M;100
2345;DIMAFRAIS 8M;100
2348;SHAMPOOING LILAS EXTREME HUILE CITRONNELLE 350ML;100
2350;SHAMPOOING LILAS EXTREME HUILE D'ARGAN 350ML;100
2357;AXE DEOD SPRAY EXCITE 150ML;100
2361;PLEIN AIR CITRON BOMBE 300ML;100
2362;AIR FRESH WHITE ROSE;100
2369;AIR FRESH FLEURS DE LYS;100
2371;AIR FRESH TROPICAL;100
2376;LILAS GEL LAVANT GRENADINE;100
2377;LILAS GEL LAVANT FLORAL;100
2378;LILAS GEL LAVANT PECHE;100
2380;LILAS GEL DOUCHE FRUITE;100
2381;LILAS GEL DOUCHE NOIX DE COCO 500ML;100
2383;LILAS GEL DOUCHE CITRON VERVEINE;100
2384;GHASSEL CITRON DETER LIQ 5L;100
2386;FAWEH BIDON 5L JMAL;100
2387;FAWEH BLANC 1L RECTANGULAIRE JMAL;100
2388;ALYS LIQ DETEREGENT 1L;100
2390;FINESSE LESSIVE MAIN 2 L JMAL;100
2391;BAD COLGATE DOUBLE ACTION;100
2394;SAVON DE BEAUTE GOLDEX COOL 100GR;100
2405;BROSSE FENETRE SOFPINCE;100
2406;CAROLIN SOL PARQUETS MODERNES;100
2407;CAROLIN SOL SAVON NOIR;100
2408;CAROLIN PISTOLET MULTI-SURFACES;100
2410;CAROLIN PISTOLET MULTI-SURFACES AU BICARBONATE;100
2412;SAVON DETTOL SKINCARE;100
2413;SAVON DETTOL RE-ENERGIZE;100
2415;VANICH LIQUIDE 450 ML;100
2416;VANISH OXI ACTION MAX 500GR;100
2417;FINISH CLASSIC 40 PASTILLES;100
2420;PRIL 580ML LEMON;100
2424;SIGNAL 2 ANTI-CARIES 25ML;100
2426;NADHIF SM REG NEW 1KG;100
2427;NADHIF HS DC REG NEW 1KG;100
2431;DIPTOX GM 500ML;100
2432;DIPTOX PM 300ML;100
2435;ESSUIE-TOUT LILAS ULTRA DOUX 2+1;100
2441;SHAMP SUNSILK ANTI PELL BLEU 380ML;100
2444;SHAMP SUNSILK FORCE ET BRILLANCE 380ML;100
2445;SHAM SUNSILK 2EN1 NOIRS 180ML(noir);100
2452;SHAMP SOUPL POMME&RAISIN 350ML;100
2465;JUDY FLEURS ROSE 1L;100
2466;JUDY FLEURS JASMIN 1L;100
